System               | Instance             | Version    | Date       | Server    
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_wcf          | PrecISETradeWebService01a | 8.0.0.1    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_wcf          | PrecISETradeWebService01b | 8.0.0.1    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_wcf          | PrecISETradeWebService01c | 8.0.0.1    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_wcf          | PrecISETradeWebService01d | 8.0.0.1    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_wslogger     | PreciseWSLogger01a   | 1.0.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_wslogger     | PreciseWSLogger01b   | 1.0.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_wslogger     | PreciseWSLogger01c   | 1.0.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_regutility   | VersionRegUtility    | 1.1.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | DR        
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_wcf          | PrecISETradeWebService01a | 8.0.0.1    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_wcf          | PrecISETradeWebService01b | 8.0.0.1    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_wcf          | PrecISETradeWebService01c | 8.0.0.1    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_wcf          | PrecISETradeWebService01d | 8.0.0.1    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_wslogger     | PreciseWSLogger01a   | 1.0.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_wslogger     | PreciseWSLogger01b   | 1.0.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_wslogger     | PreciseWSLogger01c   | 1.0.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
precise_regutility   | VersionRegUtility    | 1.1.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | DR        
lvc                  | mdcx_lvc2            | 8.0.0.0    | 2014-01-29 | PD-LVC01   | ISEapps    | DR        
lvc                  | mdcx_lvc2_gem        | 8.0.0.0    | 2014-01-29 | PD-LVC01   | ISEapps    | DR        
dashboard_ed         | EventDetector        | 6.0.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | DR        
dashboard_ew         | EventWriter          | 4.0.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | DR        
dashboard_ebs        | ExegyBridgeService   | 8.0.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | DR        
dashboard_ops        | OperationsService    | 3.4.1.0    | 2014-01-29 | PD-MPM01   | ISEapps    | DR        
dashboard_wcf        | OpsWCFService        | 5.2.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | DR        
dashboard_sys        | SysConBridgeService  | 8.0.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | DR        
mpt_client           | MPTClient            | 8.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
rdfe                 | RDFE                 | 8.0.0.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
mdm_wcf              | MarketDataManager_BIN_Telex | 3.0.0.5    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
mpt_ams              | MPTAlertManagerService_01 | 8.0.0.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
mpt_ams              | MPTAlertManagerService_02 | 8.0.0.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
mpt_as               | MPTAlertService_01   | 8.0.1.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
mpt_as               | MPTAlertService_02   | 8.0.1.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
order_deviation      | OrderDeviationAlert_01 | 1.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
order_deviation      | OrderDeviationAlert_02 | 1.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
order_deviation      | OrderDeviationAlert_51 | 1.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
order_deviation      | OrderDeviationAlert_52 | 1.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | DR        
alert_viewer         | AlertViewer          | 1.6.0.3    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
billing_fe           | BillingServiceTool   | 3.0.0.6    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
marketwatch          | marketwatch          | 8.0.3.0    | 2014-01-30 | PD-OBE01   | ISEapps    | DR        
mpt_client           | MPTClient            | 8.0.3.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
