System               | Instance             | Version    | Date       | Server    
rtp_atlr             | ATLineReader_01      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_02      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_03      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_04      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_05      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_06      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_07      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_08      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_09      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_10      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_51      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_52      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_53      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_54      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_55      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_56      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_atlr             | ATLineReader_57      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_etslr            | ETSLineReader_01     | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_etslr            | ETSLineReader_02     | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_etslr            | ETSLineReader_03     | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_etslr            | ETSLineReader_04     | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_etslr            | ETSLineReader_05     | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_etslr            | ETSLineReader_06     | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rtp_etslr            | ETSLineReader_07     | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
