System               | Instance             | Version    | Date       | Server    
rtp_atlr             | ATLineReader_58      | 2.8.3.0    | 2014-01-23 | PC-ALR01B  | ISEapps   
rtp_etslr            | ETSLineReader_58     | 2.8.3.0    | 2014-01-23 | PC-ALR01B  | ISEapps   
rtp_atlr             | ATLineReader_58      | 2.8.3.0    | 2014-01-23 | PC-ALR01D  | ISEapps   
rtp_etslr            | ETSLineReader_58     | 2.8.3.0    | 2014-01-23 | PC-ALR01D  | ISEapps   
rtp_atlr             | ATLineReader_58      | 2.8.3.0    | 2014-01-23 | PC-ALR01E  | ISEapps   
rtp_etslr            | ETSLineReader_58     | 2.8.3.0    | 2014-01-23 | PC-ALR01E  | ISEapps   
rtp_atlr             | ATLineReader_58      | 2.8.3.0    | 2014-01-23 | PC-ALR01F  | ISEapps   
rtp_etslr            | ETSLineReader_58     | 2.8.3.0    | 2014-01-23 | PC-ALR01F  | ISEapps   
rtp_atlr             | ATLineReader_58      | 2.8.3.0    | 2014-01-23 | PC-ALR01G  | ISEapps   
rtp_etslr            | ETSLineReader_58     | 2.8.3.0    | 2014-01-23 | PC-ALR01G  | ISEapps   
precise_bsi          | precise_bsi_01       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_02       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_03       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_04       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_05       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_06       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_07       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_08       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_09       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_10       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_11       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_12       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_13       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_14       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_15       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_16       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_17       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_18       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_19       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_20       | 8.0.3.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_schema       | schema               | 1.7.2.0    | 2014-01-23 | PC-BSI01B  | ISEapps   
precise_bsi          | precise_bsi_01       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_02       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_03       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_04       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_05       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_06       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_07       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_08       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_09       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_10       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_11       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_12       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_13       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_14       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_15       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_16       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_17       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_18       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_19       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_20       | 8.0.3.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_schema       | schema               | 1.7.2.0    | 2014-01-23 | PC-BSI01C  | ISEapps   
precise_bsi          | precise_bsi_08       | 8.0.3.0    | 2014-01-23 | PC-BSI01D  | ISEapps   
mpt_client           | MPTClient            | 8.0.400.0  | 2014-01-23 | PC-CTX11   | ISEapps   
