System               | Instance             | Version    | Date       | Server    
precise_wcf          | PrecISETradeWebService01c | 8.0.0.1    | 2014-01-28 | PD-IT01B   | ISEapps    | BAT       
precise_wcf          | PrecISETradeWebService01d | 8.0.0.1    | 2014-01-28 | PD-IT01B   | ISEapps    | BAT       
precise_wslogger     | PreciseWSLogger01a   | 1.0.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | BAT       
precise_wslogger     | PreciseWSLogger01b   | 1.0.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | BAT       
precise_wslogger     | PreciseWSLogger01c   | 1.0.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | BAT       
precise_regutility   | VersionRegUtility    | 1.1.0.0    | 2014-01-28 | PD-IT01B   | ISEapps    | BAT       
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_wcf          | PrecISETradeWebService01a | 8.0.0.1    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_wcf          | PrecISETradeWebService01b | 8.0.0.1    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_wcf          | PrecISETradeWebService01c | 8.0.0.1    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_wcf          | PrecISETradeWebService01d | 8.0.0.1    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_wslogger     | PreciseWSLogger01a   | 1.0.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_wslogger     | PreciseWSLogger01b   | 1.0.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_wslogger     | PreciseWSLogger01c   | 1.0.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
precise_regutility   | VersionRegUtility    | 1.1.0.0    | 2014-01-28 | PD-IT01C   | ISEapps    | BAT       
lvc                  | mdcx_lvc2            | 8.0.0.0    | 2014-01-29 | PD-LVC01   | ISEapps    | BAT       
lvc                  | mdcx_lvc2_gem        | 8.0.0.0    | 2014-01-29 | PD-LVC01   | ISEapps    | BAT       
dashboard_ed         | EventDetector        | 6.0.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | BAT       
dashboard_ew         | EventWriter          | 4.0.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | BAT       
