System               | Instance             | Version    | Date       | Server    
core                 | CentralRsysLog       | 008.000.070 | 2014-01-23 | pc-log01   | core       | PROD      
core                 | CentralRsysLog       | 008.000.070 | 2014-01-23 | pc-log02   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me01a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me01b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me03a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me03b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me04a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me04b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me05a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me05b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me06a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me06b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me07a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me07b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me08a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me08b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me09a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me09b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me10a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me10b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me51a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me51b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me52a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me52b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me53a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me53b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me54a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me54b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me55a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me55b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me56a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me56b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me57a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me57b   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me58a   | core       | PROD      
core                 | Matcher              | 008.000.070 | 2014-01-23 | pc-me58b   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw01   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw02   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw03   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw04   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw09   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw10   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw11   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw12   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw13   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw14   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw15   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw151  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw152  | core       | PROD      
