System               | Instance             | Version    | Date       | Server    
config_client        | ConfigurationClient  | 3.5.1.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
mpt_ams              | MPTAlertManagerService | 7.0.1.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
mpt_as               | MPTAlertService      | 6.0.1.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_wcf          | PrecISETradeWebService | 7.0.0.4    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_wslogger     | PreciseWSLogger      | 1.0.0.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_bsi          | precise_bsi_01       | 7.0.4.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_bsi          | precise_bsi_02       | 7.0.4.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_bsi          | precise_bsi_03       | 7.0.4.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_bsi          | precise_bsi_04       | 7.0.4.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_bsi          | precise_bsi_05       | 7.0.4.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_amr          | precise_bsi_amr      | 7.0.3.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_ew           | precise_ew           | 3.1.0.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_ports        | precise_ports_01     | 7.0.1.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_sda          | precise_sda          | 2.4.1.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_tew          | precise_tew_01       | 7.0.8.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_udw          | precise_udw          | 4.1.0.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_schema       | schema               | 7.0.1.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
precise_regutility   | VersionRegUtility    | 1.1.0.0    | 2014-01-28 | TC-MAT255  | ISEapps    | MAT       
lvc                  | mdcx_lvc2            | 7.0.1.0    | 2014-01-28 | TC-MAT311  | ISEapps    | MAT       
marketwatch          | marketwatch          | 8.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
mpt_client           | MPTClient            | 8.2.4.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
obe_client           | OBE                  | 8.0.1.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
rdfe                 | RDFE                 | 8.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
config_client        | ConfigurationClient  | 3.5.1.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
mpt_ams              | MPTAlertManagerService_01 | 8.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
mpt_as               | MPTAlertService_01   | 8.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
obe_gts              | GtsService           | 7.0.1.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
obe_ofids            | OFIDS                | 7.0.1.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
dashboard_ed         | EventDetector        | 6.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
dashboard_ew         | EventWriter          | 4.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
dashboard_ebs        | ExegyBridgeService   | 1.6.1.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
dashboard_ops        | OperationsService    | 3.4.1.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
dashboard_sys        | SysConBridgeService  | 8.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
rdcx_refdatamanager  | RefDataMan           | 8.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
rdcx_refdataservice  | RefDataSer           | 8.0.0.0    | 2014-02-03 | TC-MAT351  | ISEapps    | MAT       
config_client        | ConfigurationClient  | 3.5.1.0    | 2014-01-28 | TC-MAT352  | ISEapps    | MAT       
lvc                  | mdcx_lvc2            | 7.0.1.0    | 2014-01-28 | TC-MAT352  | ISEapps    | MAT       
config_client        | ConfigurationClient  | 3.5.1.0    | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_dca             | iors_bsi_dca_01      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_ora             | iors_bsi_ora_01      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_ora             | iors_bsi_ora_02      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_ora             | iors_bsi_ora_03      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_ora             | iors_bsi_ora_04      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_ora             | iors_bsi_ora_05      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_ora             | iors_bsi_ora_06      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_ora             | iors_bsi_ora_07      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_ora             | iors_bsi_ora_08      | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_irc             | iors_irc_mat54_p_1   | 3.28.0.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_irc             | iors_irc_mat54_p_2   | 3.28.0.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_irc             | iors_irc_mat56_p_3   | 3.28.0.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_irc             | iors_irc_mat56_p_4   | 3.28.0.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
iors_moe             | iors_moe             | 3.28.1.0   | 2014-01-28 | TC-MAT356  | ISEapps    | MAT       
core                 | Other                | 007.000.070 | 2013-10-09 | tc-mat201  | core       | MAT       
core                 | Other                | 007.000.070 | 2013-10-09 | tc-mat202  | core       | MAT       
core                 | Other                | 007.000.070 | 2013-10-09 | tc-mat203  | core       | MAT       
core                 | Other                | 007.000.070 | 2013-10-09 | tc-mat204  | core       | MAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-mat301  | core       | MAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-mat302  | core       | MAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-mat303  | core       | MAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-mat304  | core       | MAT       
