System               | Instance             | Version    | Date       | Server    
core                 | ActiveMQ             | 008.001.010 | 2014-02-12 | pd-amq01   | core       | DR        
core                 | Matcher              | 008.001.010 | 2014-02-12 | pd-me03a   | core       | DR        
core                 | AuditTrail           | 008.001.010 | 2014-02-12 | pd-at01    | core       | DR        
core                 | AuditTrail           | 008.001.010 | 2014-02-12 | pd-at03    | core       | DR        
core                 | AuditTrail           | 008.001.010 | 2014-02-12 | pd-at04    | core       | DR        
core                 | AuditTrail           | 008.001.010 | 2014-02-12 | pd-at05    | core       | DR        
core                 | CrossDB              | 008.001.010 | 2014-02-12 | pd-cdb01a  | core       | DR        
core                 | CrossDB              | 008.001.010 | 2014-02-12 | pd-cdb01b  | core       | DR        
core                 | PerfMon              | 008.001.010 | 2014-02-12 | pd-cpm01   | core       | DR        
core                 | PerfMon              | 008.001.010 | 2014-02-12 | pd-cpm02   | core       | DR        
core                 | MarketData           | 008.001.010 | 2014-02-12 | pd-dd03a   | core       | DR        
core                 | MarketData           | 008.001.010 | 2014-02-12 | pd-dd04a   | core       | DR        
core                 | MarketData           | 008.001.010 | 2014-02-12 | pd-dd05a   | core       | DR        
core                 | Other                | 008.001.010 | 2014-02-12 | pd-ifi01   | core       | DR        
core                 | Other                | 008.001.010 | 2014-02-12 | pd-ifi02   | core       | DR        
core                 | Other                | 008.001.010 | 2014-02-12 | pd-ifi03   | core       | DR        
core                 | CentralRsysLog       | 008.001.010 | 2014-02-12 | pd-log01   | core       | DR        
core                 | Matcher              | 008.001.010 | 2014-02-12 | pd-me04a   | core       | DR        
core                 | Matcher              | 008.001.010 | 2014-02-12 | pd-me05a   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw01   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw02   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw03   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw04   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw08   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw09   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw10   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw11   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw12   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw13   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw14   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw15   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw16   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw17   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw18   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw19   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw20   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw21   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw22   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw23   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw24   | core       | DR        
core                 | Gateway              | 008.001.010 | 2014-02-12 | pd-mgw30   | core       | DR        
core                 | OutboundFeedInterface | 008.001.010 | 2014-02-12 | pd-ofi01   | core       | DR        
core                 | OutboundFeedInterface | 008.001.010 | 2014-02-12 | pd-ofi02   | core       | DR        
core                 | OutboundFeedInterface | 008.001.010 | 2014-02-12 | pd-ofi03   | core       | DR        
core                 | OutboundFeedInterface | 008.001.010 | 2014-02-12 | pd-ofi04   | core       | DR        
core                 | OutboundFeedInterface | 008.001.010 | 2014-02-12 | pd-ofi05   | core       | DR        
core                 | OutboundFeedInterface | 008.001.010 | 2014-02-12 | pd-ofi06   | core       | DR        
core                 | OutboundFeedInterface | 008.001.010 | 2014-02-12 | pd-ofi07   | core       | DR        
core                 | OutboundFeedInterface | 008.001.010 | 2014-02-12 | pd-ofi08   | core       | DR        
core                 | Pope                 | 008.001.010 | 2014-02-12 | pd-pp03a   | core       | DR        
core                 | Pope                 | 008.001.010 | 2014-02-12 | pd-pp04a   | core       | DR        
core                 | Pope                 | 008.001.010 | 2014-02-12 | pd-pp05a   | core       | DR        
core                 | SystemControler      | 008.001.010 | 2014-02-12 | pd-sc01    | core       | DR        
