System               | Instance             | Version    | Date       | Server    
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me05a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me05b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me06a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me06b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me07a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me07b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me08a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me08b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me09a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me09b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me10a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me10b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me51a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me51b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me52a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me52b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me53a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me53b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me54a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me54b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me55a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me55b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me56a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me56b   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me57a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me57b   | core      
