System               | Instance             | Version    | Date       | Server    
rtp_atlr             | ATLineReader_01      | 2.7.3.0    | 2014-01-06 | PC-ALR01A  | ISEapps   
rdqs                 | RDQS                 | 1.10.0.0   | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_01     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_02     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_03     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_04     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_05     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_06     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_07     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_08     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_09     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_10     | 2.7.1.0    | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_51     | 2.7.51.0   | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_52     | 2.7.51.0   | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_53     | 2.7.51.0   | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_54     | 2.7.51.0   | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_55     | 2.7.51.0   | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_56     | 2.7.51.0   | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_57     | 2.7.51.0   | 2014-01-07 | PC-PIM01A  | ISEapps   
rtp_pim              | PluginManager_55     | 2.7.51.0   | 2014-01-07 | PC-PIM01C  | ISEapps   
rtp_pim              | PluginManager_57     | 2.7.51.0   | 2014-01-07 | PC-PIM01C  | ISEapps   
core                 | core                 | 007.000.075 | 2013-10-31 | PC-AMQ01A  | core      
core                 | core                 | 007.000.075 | 2013-10-31 | PC-AT02    | core      
